,affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating
0,0,No,male,37.0,10.0,no,3,18,7,4
1,0,No,female,27.0,4.0,no,4,14,6,4
2,0,No,female,32.0,15.0,yes,1,12,1,4
3,0,No,male,57.0,15.0,yes,5,18,6,5
4,0,No,male,22.0,0.75,no,2,17,6,3
5,0,No,female,32.0,1.5,no,2,17,5,5
6,0,No,female,22.0,0.75,no,2,12,1,3
7,0,No,male,57.0,15.0,yes,2,14,4,4
8,0,No,female,32.0,15.0,yes,4,16,1,2
9,0,No,male,22.0,1.5,no,4,14,4,5
10,0,No,male,37.0,15.0,yes,2,20,7,2
11,0,No,male,27.0,4.0,yes,4,18,6,4
12,0,No,male,47.0,15.0,yes,5,17,6,4
13,0,No,female,22.0,1.5,no,2,17,5,4
14,0,No,female,27.0,4.0,no,4,14,5,4
15,0,No,female,37.0,15.0,yes,1,17,5,5
16,0,No,female,37.0,15.0,yes,2,18,4,3
17,0,No,female,22.0,0.75,no,3,16,5,4
18,0,No,female,22.0,1.5,no,2,16,5,5
19,0,No,female,27.0,10.0,yes,2,14,1,5
20,0,No,female,22.0,1.5,no,2,16,5,5
21,0,No,female,22.0,1.5,no,2,16,5,5
22,0,No,female,27.0,10.0,yes,4,16,5,4
23,0,No,female,32.0,10.0,yes,3,14,1,5
24,0,No,male,37.0,4.0,yes,2,20,6,4
25,0,No,female,22.0,1.5,no,2,18,5,5
26,0,No,female,27.0,7.0,no,4,16,1,5
27,0,No,male,42.0,15.0,yes,5,20,6,4
28,0,No,male,27.0,4.0,yes,3,16,5,5
29,0,No,female,27.0,4.0,yes,3,17,5,4
30,0,No,male,42.0,15.0,yes,4,20,6,3
31,0,No,female,22.0,1.5,no,3,16,5,5
32,0,No,male,27.0,0.417,no,4,17,6,4
33,0,No,female,42.0,15.0,yes,5,14,5,4
34,0,No,male,32.0,4.0,yes,1,18,6,4
35,0,No,female,22.0,1.5,no,4,16,5,3
36,0,No,female,42.0,15.0,yes,3,12,1,4
37,0,No,female,22.0,4.0,no,4,17,5,5
38,0,No,male,22.0,1.5,yes,1,14,3,5
39,0,No,female,22.0,0.75,no,3,16,1,5
40,0,No,male,32.0,10.0,yes,5,20,6,5
41,0,No,male,52.0,15.0,yes,5,18,6,3
42,0,No,female,22.0,0.417,no,5,14,1,4
43,0,No,female,27.0,4.0,yes,2,18,6,1
44,0,No,female,32.0,7.0,yes,5,17,5,3
45,0,No,male,22.0,4.0,no,3,16,5,5
46,0,No,female,27.0,7.0,yes,4,18,6,5
47,0,No,female,42.0,15.0,yes,2,18,5,4
48,0,No,male,27.0,1.5,yes,4,16,3,5
49,0,No,male,42.0,15.0,yes,2,20,6,4
50,0,No,female,22.0,0.75,no,5,14,3,5
51,0,No,male,32.0,7.0,yes,2,20,6,4
52,0,No,male,27.0,4.0,yes,5,20,6,5
53,0,No,male,27.0,10.0,yes,4,20,6,4
54,0,No,male,22.0,4.0,no,1,18,5,5
55,0,No,female,37.0,15.0,yes,4,14,3,1
56,0,No,male,22.0,1.5,yes,5,16,4,4
57,0,No,female,37.0,15.0,yes,4,17,1,5
58,0,No,female,27.0,0.75,no,4,17,5,4
59,0,No,male,32.0,10.0,yes,4,20,6,4
60,0,No,female,47.0,15.0,yes,5,14,7,2
61,0,No,male,37.0,10.0,yes,3,20,6,4
62,0,No,female,22.0,0.75,no,2,16,5,5
63,0,No,male,27.0,4.0,no,2,18,4,5
64,0,No,male,32.0,7.0,no,4,20,6,4
65,0,No,male,42.0,15.0,yes,2,17,3,5
66,0,No,male,37.0,10.0,yes,4,20,6,4
67,0,No,female,47.0,15.0,yes,3,17,6,5
68,0,No,female,22.0,1.5,no,5,16,5,5
69,0,No,female,27.0,1.5,no,2,16,6,4
70,0,No,female,27.0,4.0,no,3,17,5,5
71,0,No,female,32.0,10.0,yes,5,14,4,5
72,0,No,female,22.0,0.125,no,2,12,5,5
73,0,No,male,47.0,15.0,yes,4,14,4,3
74,0,No,male,32.0,15.0,yes,1,14,5,5
75,0,No,male,27.0,7.0,yes,4,16,5,5
76,0,No,female,22.0,1.5,yes,3,16,5,5
77,0,No,male,27.0,4.0,yes,3,17,6,5
78,0,No,female,22.0,1.5,no,3,16,5,5
79,0,No,male,57.0,15.0,yes,2,14,7,2
80,0,No,male,17.5,1.5,yes,3,18,6,5
81,0,No,male,57.0,15.0,yes,4,20,6,5
82,0,No,female,22.0,0.75,no,2,16,3,4
83,0,No,male,42.0,4.0,no,4,17,3,3
84,0,No,female,22.0,1.5,yes,4,12,1,5
85,0,No,female,22.0,0.417,no,1,17,6,4
86,0,No,female,32.0,15.0,yes,4,17,5,5
87,0,No,female,27.0,1.5,no,3,18,5,2
88,0,No,female,22.0,1.5,yes,3,14,1,5
89,0,No,female,37.0,15.0,yes,3,14,1,4
90,0,No,female,32.0,15.0,yes,4,14,3,4
91,0,No,male,37.0,10.0,yes,2,14,5,3
92,0,No,male,37.0,10.0,yes,4,16,5,4
93,0,No,male,57.0,15.0,yes,5,20,5,3
94,0,No,male,27.0,0.417,no,1,16,3,4
95,0,No,female,42.0,15.0,yes,5,14,1,5
96,0,No,male,57.0,15.0,yes,3,16,6,1
97,0,No,male,37.0,10.0,yes,1,16,6,4
98,0,No,male,37.0,15.0,yes,3,17,5,5
99,0,No,male,37.0,15.0,yes,4,20,6,5
100,0,No,female,27.0,10.0,yes,5,14,1,5
101,0,No,male,37.0,10.0,yes,2,18,6,4
102,0,No,female,22.0,0.125,no,4,12,4,5
103,0,No,male,57.0,15.0,yes,5,20,6,5
104,0,No,female,37.0,15.0,yes,4,18,6,4
105,0,No,male,22.0,4.0,yes,4,14,6,4
106,0,No,male,27.0,7.0,yes,4,18,5,4
107,0,No,male,57.0,15.0,yes,4,20,5,4
108,0,No,male,32.0,15.0,yes,3,14,6,3
109,0,No,female,22.0,1.5,no,2,14,5,4
110,0,No,female,32.0,7.0,yes,4,17,1,5
111,0,No,female,37.0,15.0,yes,4,17,6,5
112,0,No,female,32.0,1.5,no,5,18,5,5
113,0,No,male,42.0,10.0,yes,5,20,7,4
114,0,No,female,27.0,7.0,no,3,16,5,4
115,0,No,male,37.0,15.0,no,4,20,6,5
116,0,No,male,37.0,15.0,yes,4,14,3,2
117,0,No,male,32.0,10.0,no,5,18,6,4
